sectionNumber,standardReference,standardText,auditQuestion,score1Criteria,score2Criteria,score3Criteria
4.1,ISO 9001:2015 Clause 4.1,"The organization shall determine external and internal issues that are relevant to its purpose and strategic direction and that affect its ability to achieve the intended result(s) of its quality management system.","Has the organization identified and documented external issues (legal, technological, competitive, market, cultural, social, economic) that affect its ability to achieve QMS results?","No external issues have been identified or documented.","Some external issues are identified but documentation is incomplete or not linked to strategic direction.","External issues are comprehensively identified, documented, and clearly linked to strategic direction with regular review."
4.1,ISO 9001:2015 Clause 4.1,"The organization shall determine external and internal issues that are relevant to its purpose and strategic direction and that affect its ability to achieve the intended result(s) of its quality management system.","Has the organization identified and documented internal issues (values, culture, knowledge, performance) that affect its ability to achieve QMS results?","No internal issues have been identified or documented.","Some internal issues are identified but documentation is incomplete or not systematically reviewed.","Internal issues are comprehensively identified, documented, and regularly monitored with evidence of review."
4.1,ISO 9001:2015 Clause 4.1,"The organization shall determine external and internal issues that are relevant to its purpose and strategic direction and that affect its ability to achieve the intended result(s) of its quality management system.","Is there evidence that external and internal issues are monitored and reviewed at planned intervals?","No monitoring or review process exists for context issues.","Issues are reviewed occasionally but not at planned intervals or without documented outcomes.","Issues are monitored and reviewed at defined intervals with documented evidence of actions taken."
4.2,ISO 9001:2015 Clause 4.2,"The organization shall determine: a) the interested parties that are relevant to the quality management system; b) the requirements of these interested parties that are relevant to the quality management system.","Has the organization identified all relevant interested parties (customers, employees, suppliers, regulators, shareholders, community)?","Interested parties have not been identified.","Some interested parties are identified but the list is incomplete or not documented.","All relevant interested parties are identified, documented, and categorized appropriately."
4.2,ISO 9001:2015 Clause 4.2,"The organization shall determine: a) the interested parties that are relevant to the quality management system; b) the requirements of these interested parties that are relevant to the quality management system.","Are the requirements and expectations of each interested party documented and monitored?","Requirements of interested parties are not documented.","Requirements are partially documented but not systematically monitored or updated.","Requirements are fully documented, regularly monitored, and updated with evidence of review."
4.3,ISO 9001:2015 Clause 4.3,"The organization shall determine the boundaries and applicability of the quality management system to establish its scope.","Is the QMS scope clearly defined, documented, and available as documented information?","QMS scope is not defined or documented.","Scope is defined but incomplete, unclear, or not readily available.","Scope is clearly defined, documented, available, and includes all products/services and applicable requirements."
4.3,ISO 9001:2015 Clause 4.3,"The organization shall determine the boundaries and applicability of the quality management system to establish its scope.","If any ISO 9001 requirements are determined not applicable, is there valid justification that does not affect conformity of products/services?","Exclusions exist without justification or justification is invalid.","Exclusions are justified but documentation is incomplete or reasoning is weak.","All exclusions are properly justified, documented, and do not affect product/service conformity or customer satisfaction."
4.4,ISO 9001:2015 Clause 4.4,"The organization shall establish, implement, maintain and continually improve a quality management system, including the processes needed and their interactions.","Are QMS processes identified with their inputs, outputs, sequence, and interactions documented?","QMS processes are not identified or documented.","Processes are identified but inputs, outputs, or interactions are not fully documented.","All QMS processes are identified with documented inputs, outputs, sequence, and interactions."
4.4,ISO 9001:2015 Clause 4.4,"The organization shall establish, implement, maintain and continually improve a quality management system, including the processes needed and their interactions.","Are criteria, methods, and performance indicators established for each process to ensure effective operation and control?","No criteria or performance indicators exist for processes.","Some processes have criteria/indicators but coverage is incomplete or inconsistent.","All processes have defined criteria, methods, and performance indicators that are monitored."
4.4,ISO 9001:2015 Clause 4.4,"The organization shall establish, implement, maintain and continually improve a quality management system, including the processes needed and their interactions.","Are resources, responsibilities, and authorities assigned for each QMS process?","Resources and responsibilities are not assigned to processes.","Some processes have assigned resources/responsibilities but gaps exist.","All processes have clearly assigned resources, responsibilities, and authorities with documented accountability."
